                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 3.8965,                 2.5687,                 1.9909,                0.68754,                0.58104,                0.64037,                0.28937,                 3.7986,                 2.3112,                 1.8456,               0.003565,               0.003565,               0.003565
                     67,                 3.9094,                 2.5735,                 1.9828,                0.68655,                0.59247,                0.64435,                0.29105,                 3.7916,                 2.3121,                 1.8457,               0.003466,               0.003466,               0.003466
                     68,                 3.8775,                  2.542,                 1.9976,                0.68294,                0.59251,                0.64726,                0.29361,                 3.8055,                 2.2745,                 1.8454,               0.003367,               0.003367,               0.003367
                     69,                 3.8537,                 2.4988,                 1.9794,                0.70621,                0.58197,                0.64811,                0.29613,                  3.779,                  2.258,                 1.8433,               0.003268,               0.003268,               0.003268
                     70,                 3.8687,                 2.5002,                 1.9864,                0.70013,                0.58677,                0.65033,                0.29606,                 3.7843,                 2.2512,                 1.8447,               0.003169,               0.003169,               0.003169
                     71,                 3.8338,                 2.4897,                 1.9785,                 0.7017,                0.58166,                0.64954,                0.29542,                 3.7981,                 2.2755,                 1.8469,                0.00307,                0.00307,                0.00307
                     72,                 3.8415,                 2.5032,                  1.973,                0.70967,                0.58351,                0.65332,                0.29451,                 3.7979,                 2.2854,                 1.8457,               0.002971,               0.002971,               0.002971
                     73,                 3.8363,                 2.4804,                 1.9767,                0.70821,                0.58523,                0.65201,                0.29401,                 3.7943,                 2.2693,                 1.8476,               0.002872,               0.002872,               0.002872
                     74,                 3.8422,                 2.4587,                  1.975,                0.71434,                0.58691,                0.65413,                0.29423,                 3.8026,                 2.2538,                 1.8496,               0.002773,               0.002773,               0.002773
                     75,                 3.8106,                 2.4556,                 1.9817,                0.69723,                0.59586,                0.65475,                 0.2951,                 3.8021,                 2.2498,                  1.851,               0.002674,               0.002674,               0.002674
                     76,                 3.8371,                 2.4617,                  1.975,                0.70559,                0.59154,                0.65637,                 0.2958,                 3.8055,                  2.244,                 1.8489,               0.002575,               0.002575,               0.002575
                     77,                 3.8026,                 2.4195,                 1.9637,                0.70524,                0.59525,                0.65733,                0.29707,                 3.8088,                 2.2355,                 1.8472,               0.002476,               0.002476,               0.002476
                     78,                  3.797,                 2.4021,                 1.9734,                0.70957,                   0.59,                0.65904,                0.29863,                 3.8018,                 2.2427,                  1.848,               0.002377,               0.002377,               0.002377
                     79,                 3.7948,                 2.4223,                 1.9667,                0.69286,                0.60142,                0.65923,                 0.3008,                 3.7963,                 2.2401,                  1.846,               0.002278,               0.002278,               0.002278
                     80,                 3.7741,                 2.3804,                  1.964,                0.70674,                0.60044,                0.66107,                0.30145,                 3.7857,                 2.2485,                 1.8446,               0.002179,               0.002179,               0.002179
                     81,                 3.7701,                 2.3794,                 1.9583,                0.70521,                0.60173,                0.65978,                0.30145,                 3.7885,                 2.2483,                  1.845,                0.00208,                0.00208,                0.00208
                     82,                  3.751,                 2.3521,                 1.9554,                0.71093,                 0.6042,                0.66184,                0.30201,                 3.7929,                  2.242,                 1.8454,               0.001981,               0.001981,               0.001981
                     83,                 3.7406,                 2.3695,                  1.956,                0.70921,                0.60482,                0.66146,                0.30185,                 3.7879,                  2.245,                 1.8441,               0.001882,               0.001882,               0.001882
                     84,                 3.7564,                  2.346,                  1.958,                0.70655,                0.60266,                0.65969,                0.30124,                 3.7872,                 2.2458,                 1.8433,               0.001783,               0.001783,               0.001783
                     85,                 3.7272,                 2.3275,                 1.9463,                0.70508,                0.60304,                0.65902,                 0.3024,                 3.7828,                 2.2434,                 1.8438,               0.001684,               0.001684,               0.001684
                     86,                 3.7272,                 2.3436,                  1.952,                 0.7063,                0.60361,                0.65934,                0.30294,                 3.7863,                 2.2385,                 1.8451,               0.001585,               0.001585,               0.001585
                     87,                 3.7258,                 2.3548,                 1.9555,                0.71342,                0.60411,                0.66094,                0.30441,                 3.7781,                 2.2322,                 1.8442,               0.001486,               0.001486,               0.001486
                     88,                 3.7038,                 2.3078,                 1.9452,                0.70897,                0.60543,                0.65886,                0.30436,                 3.7756,                 2.2275,                 1.8439,               0.001387,               0.001387,               0.001387
                     89,                  3.699,                 2.2889,                  1.943,                0.70589,                0.60605,                0.65928,                0.30432,                 3.7738,                 2.2301,                 1.8435,               0.001288,               0.001288,               0.001288
                     90,                 3.6936,                 2.2938,                 1.9431,                0.70384,                0.60883,                0.66138,                0.30494,                 3.7775,                 2.2305,                 1.8437,               0.001189,               0.001189,               0.001189
                     91,                 3.6263,                 2.1873,                 1.9551,                0.70255,                 0.6089,                0.66135,                0.30479,                 3.7847,                 2.2287,                 1.8447,                0.00109,                0.00109,                0.00109
                     92,                 3.6028,                 2.1967,                  1.955,                0.70583,                0.60945,                0.66458,                0.30475,                 3.7866,                 2.2304,                 1.8448,               0.000991,               0.000991,               0.000991
                     93,                  3.563,                 2.1465,                 1.9446,                0.71031,                0.61068,                 0.6646,                0.30556,                 3.7905,                 2.2273,                 1.8449,               0.000892,               0.000892,               0.000892
                     94,                 3.5578,                 2.1323,                 1.9406,                0.70784,                0.61315,                0.66619,                0.30603,                 3.7977,                 2.2224,                 1.8455,               0.000793,               0.000793,               0.000793
                     95,                 3.5726,                  2.127,                 1.9414,                0.70693,                0.61377,                0.66697,                0.30576,                 3.7983,                 2.2244,                 1.8453,               0.000694,               0.000694,               0.000694
                     96,                 3.5486,                 2.1042,                 1.9394,                0.70742,                0.61192,                0.66722,                0.30606,                 3.7994,                 2.2227,                 1.8453,               0.000595,               0.000595,               0.000595
                     97,                 3.5209,                 2.0829,                 1.9389,                0.70763,                0.61253,                0.66848,                0.30687,                 3.7944,                 2.2271,                 1.8447,               0.000496,               0.000496,               0.000496
                     98,                 3.5126,                 2.0634,                 1.9306,                0.70372,                  0.615,                0.66829,                0.30714,                 3.7917,                 2.2231,                  1.845,               0.000397,               0.000397,               0.000397
                     99,                 3.5216,                 2.0794,                 1.9281,                0.70248,                  0.615,                0.66874,                0.30695,                  3.795,                 2.2284,                 1.8454,               0.000298,               0.000298,               0.000298
                    100,                 3.5084,                  2.085,                 1.9317,                0.70294,                0.61562,                0.66918,                0.30744,                 3.7896,                 2.2287,                 1.8464,               0.000199,               0.000199,               0.000199
