                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.6434,                0.95502,                0.96986,                0.72578,                0.65174,                0.70112,                0.33125,                 1.8184,                 1.0456,                0.95606,               0.003169,               0.003169,               0.003169
                     72,                 1.6399,                0.94822,                0.96777,                 0.7374,                0.64153,                0.70082,                0.33101,                 1.8179,                 1.0431,                0.95644,                0.00307,                0.00307,                0.00307
                     73,                   1.64,                0.94479,                0.97151,                0.74902,                0.64248,                0.70151,                0.33117,                 1.8147,                 1.0374,                0.95361,               0.002971,               0.002971,               0.002971
                     74,                 1.6352,                0.94809,                0.97068,                0.73589,                0.65174,                0.70111,                0.33109,                 1.8146,                 1.0372,                0.95387,               0.002872,               0.002872,               0.002872
                     75,                 1.6162,                 0.9318,                0.97156,                0.74019,                0.65329,                0.70201,                 0.3328,                 1.8128,                 1.0347,                0.95422,               0.002773,               0.002773,               0.002773
                     76,                 1.6138,                0.92544,                 0.9659,                0.74183,                0.65144,                0.70196,                0.33282,                 1.8163,                 1.0382,                0.95531,               0.002674,               0.002674,               0.002674
                     77,                 1.6094,                0.92066,                 0.9663,                0.74069,                0.65174,                0.70174,                0.33235,                 1.8179,                 1.0365,                0.95543,               0.002575,               0.002575,               0.002575
                     78,                 1.5972,                0.90824,                0.95966,                0.74203,                0.64828,                0.70013,                0.33373,                 1.8143,                 1.0289,                0.95554,               0.002476,               0.002476,               0.002476
                     79,                 1.5984,                0.90841,                0.95675,                 0.7419,                0.65049,                0.70172,                0.33427,                 1.8154,                 1.0363,                0.95754,               0.002377,               0.002377,               0.002377
                     80,                 1.5951,                0.90381,                0.95633,                0.74123,                 0.6465,                0.70081,                0.33614,                 1.8087,                 1.0379,                0.95694,               0.002278,               0.002278,               0.002278
                     81,                 1.5849,                0.90066,                0.95375,                0.73947,                0.64496,                0.70108,                0.33598,                 1.8083,                 1.0392,                0.95756,               0.002179,               0.002179,               0.002179
                     82,                 1.5741,                0.89488,                0.95713,                0.73168,                0.64657,                0.70065,                0.33709,                 1.8117,                 1.0396,                0.95786,                0.00208,                0.00208,                0.00208
                     83,                 1.5591,                0.87822,                 0.9485,                0.73544,                0.64125,                0.70208,                0.33813,                 1.8136,                 1.0383,                0.95858,               0.001981,               0.001981,               0.001981
                     84,                 1.5642,                0.87712,                0.95089,                0.73968,                0.64063,                 0.7041,                0.33895,                 1.8121,                  1.043,                0.95919,               0.001882,               0.001882,               0.001882
                     85,                 1.5497,                0.86837,                 0.9478,                0.74172,                0.64001,                0.70351,                0.34006,                  1.812,                 1.0372,                0.95673,               0.001783,               0.001783,               0.001783
                     86,                 1.5431,                0.85924,                0.94619,                0.74365,                0.63768,                0.70375,                0.33904,                 1.8135,                 1.0325,                0.95488,               0.001684,               0.001684,               0.001684
                     87,                 1.5377,                0.86318,                0.94816,                0.74589,                0.63692,                0.70582,                0.33893,                 1.8139,                  1.034,                0.95525,               0.001585,               0.001585,               0.001585
                     88,                 1.5298,                0.84728,                0.94439,                 0.7454,                0.64279,                0.70761,                0.34026,                 1.8132,                  1.033,                0.95544,               0.001486,               0.001486,               0.001486
                     89,                 1.5097,                0.84169,                0.93971,                0.75075,                0.63878,                0.70871,                0.34063,                 1.8139,                 1.0294,                 0.9549,               0.001387,               0.001387,               0.001387
                     90,                 1.5183,                0.83928,                 0.9438,                 0.7482,                0.64399,                0.70825,                0.34165,                 1.8158,                 1.0274,                0.95534,               0.001288,               0.001288,               0.001288
                     91,                 1.4851,                0.80313,                0.94643,                0.74529,                0.64248,                0.70631,                0.34103,                 1.8196,                 1.0285,                0.95736,               0.001189,               0.001189,               0.001189
                     92,                 1.4656,                0.78728,                0.93895,                0.74211,                0.64412,                0.70545,                0.34137,                 1.8228,                  1.027,                0.95835,                0.00109,                0.00109,                0.00109
                     93,                 1.4429,                0.77208,                0.93691,                0.74121,                0.64495,                0.70617,                0.34121,                 1.8246,                 1.0261,                0.95841,               0.000991,               0.000991,               0.000991
                     94,                 1.4459,                0.77462,                 0.9375,                0.73736,                 0.6468,                0.70551,                0.34142,                 1.8244,                 1.0272,                0.95868,               0.000892,               0.000892,               0.000892
                     95,                 1.4345,                0.76326,                0.92986,                0.73854,                0.64185,                 0.7067,                0.34136,                 1.8257,                 1.0282,                0.95932,               0.000793,               0.000793,               0.000793
                     96,                 1.4266,                0.74982,                 0.9298,                0.73895,                0.64323,                 0.7073,                0.34154,                 1.8279,                  1.029,                 0.9601,               0.000694,               0.000694,               0.000694
                     97,                 1.4106,                0.74008,                0.92909,                0.73772,                0.64372,                0.70581,                0.34125,                 1.8289,                 1.0302,                   0.96,               0.000595,               0.000595,               0.000595
                     98,                 1.4037,                0.74811,                0.92545,                0.73859,                0.64464,                0.70672,                0.34169,                 1.8297,                 1.0301,                0.95995,               0.000496,               0.000496,               0.000496
                     99,                 1.3912,                0.73187,                0.92369,                0.73996,                 0.6431,                0.70726,                0.34187,                 1.8305,                 1.0299,                0.96012,               0.000397,               0.000397,               0.000397
                    100,                 1.3922,                0.74081,                0.92152,                 0.7421,                0.64143,                0.70645,                0.34182,                 1.8314,                 1.0296,                0.96059,               0.000298,               0.000298,               0.000298
